	ACCH	ACCO	APAU	APBI	APMA	APTO	BORU	CARO	CHCA	CHCY	CHOC	COGL	CRRO	GNTH	GOGE	HAGA	HAMA	HAPI	HAPO	HARA	HAsp	MAMA	MUMA	PABA	PRHI	PTVO	SACO	SCTA	SETI	SPAT	SPAU	SPRA	SPVI	STLE	STPA	STVA	SYSP	THBI	XYSP
A-01	0	0	0	0	0	0	0	0	0	0	0	0.47712126	0.69897002	0	0	0.69897002	0.77815127	0	0	0.30103001	0	0.47712126	0	0	0	0	0	1	0	0	0.47712126	0	0.47712126	0	0	0	0	0.77815127	0
A-04	0	0	0	0	0	0	0	0	0	0	0	0.60206002	0	0	0	0.30103001	0.77815127	0	0.30103001	0.30103001	0.30103001	0	0	0.47712126	0	0	0	0	0	0	0.69897002	0	1	0	0.60206002	0	0	0.47712126	0
A-10	0	0	0	0	0	0	0	0	0	0	0	0.47712126	0	0	0	0	0.47712126	0	0	0.30103001	0	0	0	0	0	0.30103001	0	0	0	0	0	0	0	0	0	0	0	0	0
T-00	0	0	0	0	0	0	0	0	0	0	0	1.11394334	0	0.77815127	0	0	0	0.30103001	0	0.30103001	0.95424253	1.04139268	0	0	0.30103001	0	0	0	0	0	0.30103001	0	0.77815127	1.04139268	0	0	0	0.47712126	0
T-21	0	0	0	0	0	0	0	0	0	0	0	0.84509802	0	0.47712126	0	0	0.60206002	0	0	0	0	0.69897002	0	0	0	0.47712126	0	0	0	0	0.60206002	0	0	0.84509802	0.47712126	0	0	0.77815127	0
T-26	0	0	0	0	0	0	0	0.30103001	0	0	0	1.25527251	0.30103001	1.17609131	0.47712126	0.47712126	0.60206002	0	0	0	0	1	0	0	0.30103001	0.30103001	0.77815127	0.77815127	0	0	0.60206002	0	0.77815127	1	0.30103001	0	0	1	0
T-31	0.47712126	0	0.30103001	0	0	0.30103001	0	0	0	0	0	1.04139268	0.84509802	0.30103001	0	0	0.47712126	0	0	0	1.20412004	1.30103004	0	0.30103001	0	0	0.47712126	0.69897002	0.30103001	0	0.60206002	0	1.04139268	0.95424253	0	0	0	0.47712126	0
A-06	0	0	0	0	0	0	0	0	0	0.60206002	0	0.60206002	0	0	0	0	0.47712126	0	0	0	1.04139268	0	0	0	0	0	0	0.60206002	0	0	0.30103001	0	0.77815127	0	0	0	0	0.69897002	0
A-12	0	0	0	0	0	0	0	0	0	0	0	0.47712126	0	0.60206002	0	0	0.47712126	0	0	0	0.30103001	0	0	0	0	0.30103001	0	0.47712126	0	0.30103001	0.30103001	0	0.47712126	0	0.30103001	0	0	0.47712126	0.30103001
A-13	0	0	0	0	0	0	0.30103001	0	0	0	0	0	0	0.47712126	0	0	0.47712126	0	0	0.30103001	0.30103001	0.30103001	0	0	0	0	0	0.69897002	0	0	0	0	0.47712126	0	0.47712126	0	0	0.30103001	0
A-08	0	0	0	0	0	0.47712126	0.60206002	0	0	0	0	0.30103001	0	0	0.30103001	0.30103001	0.60206002	0	0	0	0.60206002	0.69897002	0	0	0	0	0	1	0	0	0	0	0.84509802	0	0	0	0	0.95424253	0
A-15	0	0	0	0	0	0	0	0	0	0	0	0.77815127	0	0.30103001	0	0.47712126	0.30103001	0	0	0.47712126	0	0	0	0	0	0	0	0	0.30103001	0	0.30103001	0	0.30103001	0	0.30103001	0	0	0	0
T-27	0	0	0	0	0	0	0	0.30103001	0	0	0	1.34242272	0	1.20412004	0	0	0.47712126	0	0	0	0	0.69897002	0	0	0.47712126	0	0.60206002	0.69897002	0	0	0	0	0.47712126	0.84509802	0	0	0	0.30103001	0
A-07	0	0	0	0	0.30103001	0	0	0	0	0	0	0.30103001	0	0.30103001	0	0	0.47712126	0	0	0.30103001	0	0	0	0	0	0.47712126	0	0.30103001	0	0	0	0	0.30103001	0	0	0	0	0.30103001	0.30103001
A-09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.30103001	0	0.30103001	0	0	0	0.30103001	0	0	0	0	0	0	0.30103001	0	0	0	0	0	0
A-11	0	0	0	0	0	0	0	0	0	0	0	0.47712126	0.60206002	0.47712126	0	0	0.30103001	0	0	0	0	0	0	0	0.30103001	0.60206002	0	0	0	0	0	0	0.47712126	0.30103001	0	0	0	0.60206002	0
T-02	0	0	0	0.30103001	0	0	0	0	0.30103001	0	0	1	0	0.47712126	0	0	0	0	0	0	0	0.84509802	0	0	0.30103001	0	0.47712126	0.60206002	0.30103001	0	0.30103001	0	0.47712126	0.95424253	0.47712126	0	0	0.60206002	0
T-06	0	0	0	0	0	0	0	0	0	0	0	1.17609131	0	1.20412004	0	0	0.84509802	0	0	0.30103001	0	0.60206002	0	0	0.47712126	0	0	0	0	0	0	0	0	0.84509802	0.47712126	0.30103001	0	0.47712126	0
